cellule,fold,max_depth,min_child_weight,n_estimators,learning_rate,wf_pr_auc_haut,seuil_f2
Enrichi_Haut_Seg,Fold1,8,1,500,0.05,0.039174376429510965,39.2037353515625
Enrichi_Haut_Seg,Fold2,8,1,500,0.05,0.09772723163308498,44.58156967163086
Enrichi_Haut_Seg,Fold1,8,1,800,0.05,0.03904071322384517,39.48731231689453
Enrichi_Haut_Seg,Fold2,8,1,800,0.05,0.09922897618600825,44.71987533569336
Enrichi_Haut_Seg,Fold1,8,5,300,0.1,0.03814777467046387,38.14081573486328
Enrichi_Haut_Seg,Fold2,8,5,300,0.1,0.09926532411544566,48.95850372314453
Enrichi_Haut_Seg,Fold1,8,5,500,0.05,0.03963667131094519,35.73091125488281
Enrichi_Haut_Seg,Fold2,8,5,500,0.05,0.10677234336459575,41.39317321777344
Enrichi_Haut_Seg,Fold1,8,5,800,0.05,0.03985613810148463,36.1873893737793
Enrichi_Haut_Seg,Fold2,8,5,800,0.05,0.10816429618299256,41.8202018737793
Enrichi_Haut_Seg,Fold1,8,10,300,0.1,0.03612063911440453,32.42927551269531
Enrichi_Haut_Seg,Fold2,8,10,300,0.1,0.10895821927136642,46.83610153198242
Enrichi_Haut_Seg,Fold1,8,10,500,0.05,0.040017674126780436,35.462677001953125
Enrichi_Haut_Seg,Fold2,8,10,500,0.05,0.09585006906813225,40.960811614990234
Enrichi_Haut_Seg,Fold1,8,10,800,0.05,0.039854174890013715,37.76556396484375
Enrichi_Haut_Seg,Fold2,8,10,800,0.05,0.09506204492878718,40.9367790222168
